mtime,AD,AE,AK,BD,BG,BI,BL,CF,DH,DV,E,EL,EM,EU,EV,GL,GW,GY,IJ,IO,IQ,IT,IU,JT,JW,KZ,L,LO,LW,OT,PS,PW,QW,SW,W
2021-11-01T00:50,7677,5846,6994,8336,5493,6407,8825,8412,9093,7281,5936,6906,8647,6433,8122,6781,9816,5687,7879,7434,7160,7040,7300,7419,8097,10935,8883,9401,7108,6850,7994,6932,6787,7963,8783
2021-11-01T00:55,8599,6409,6723,7886,8017,5263,8329,9628,6437,6714,7551,7205,6158,6562,7279,5860,7798,5658,8682,7428,6770,7877,6602,7655,7121,8345,9712,10333,7192,7177,8624,6259,6666,8753,8775
2021-11-01T01:00,9577,6481,6947,7598,8830,6076,9696,8591,7939,9195,6879,0,5082,4531,6721,6360,10021,6027,8405,8460,6396,6520,7100,6432,10058,9563,8447,9425,4878,5783,7708,7683,8280,8141,9784
2021-11-01T01:05,8953,5578,7256,5478,9166,5557,8159,9625,9124,8626,6627,7789,5721,6482,8356,5591,9354,7181,7955,8019,6122,0,6755,5805,6646,11039,8768,7484,7141,8342,7843,6956,9886,7161,6931
2021-11-01T01:10,8403,6697,6984,6568,7118,6137,7775,9819,8158,6949,8007,9530,6912,7296,6982,7365,10032,5098,8127,10161,7687,7416,7087,5135,7095,8561,9165,9169,7148,6786,9503,6168,7726,8388,10422
2021-11-01T01:15,7004,7594,6360,6094,8369,6689,8728,9657,7102,5806,8956,7111,6616,5141,7320,7187,6787,5977,7441,7999,6839,7026,7515,7973,7108,8439,9682,9609,5836,6741,6270,5710,8472,5700,8399
2021-11-01T01:20,7339,6237,8502,8719,9424,6644,9044,9554,8951,7858,8413,7437,6201,5401,7071,7404,9999,5573,7210,6892,8043,5834,6187,6228,6988,8649,7054,7782,7670,7938,8748,7567,6610,7006,7958
2021-11-01T01:25,7802,7558,6032,6846,8227,5364,9619,10068,7224,6965,6851,6694,6847,7174,7311,7122,9270,7170,6469,7898,6906,8347,5745,8140,5693,7452,9191,8453,6194,6817,7492,5083,8296,7028,9010
2021-11-01T01:30,8924,6101,6874,7434,11052,4770,7526,9726,6657,6844,7942,6922,6308,6638,6573,8963,7281,5579,8764,7084,7449,7983,8070,5794,7601,7045,7861,7695,8004,8540,7721,7669,6511,9688,8673
2021-11-01T01:35,7940,6221,6454,8345,7509,5755,8472,8977,8096,8715,5601,8430,8562,5600,7617,8045,8230,5470,7436,7101,7856,7329,6399,6452,5783,6377,8517,11161,7099,7638,7721,6565,8217,7443,8624
2021-11-01T01:40,7974,4922,5907,6549,7846,5432,7775,8829,8887,7349,9045,7566,7602,6201,7386,7051,9170,5037,6512,8496,6373,6503,6317,6159,5988,9859,7522,9112,6450,7701,7157,8101,9061,7217,8869
2021-11-01T01:45,9783,6812,5613,8440,7731,5698,8202,10847,6458,9269,7810,8852,7552,5447,4576,9014,9549,5523,7671,6883,8173,7285,6316,6392,9253,8220,8369,8125,6793,7080,7487,6486,7749,6524,8422
2021-11-01T01:50,8110,6742,7194,4885,8077,5207,8823,9868,6867,8035,10056,7428,7335,6795,7081,7792,7637,5475,7362,8723,7721,4810,6709,7487,5502,7913,10339,8272,7380,7413,7654,7495,8461,8185,8340
2021-11-01T01:55,8160,8150,7392,7665,7864,7890,7489,10132,7581,6741,6746,8080,8120,5977,7579,8390,8287,7244,8463,7659,5536,6861,7669,5915,5832,7498,9095,7679,7662,6314,6231,8549,6665,8053,7970
2021-11-01T02:00,9449,5725,7731,8504,7569,5640,7139,9605,8403,8993,7623,9618,7740,5513,8910,0,10562,6559,9296,7480,6695,7202,7336,6538,6389,7926,8176,9540,7689,9376,7427,4219,6445,7192,9591
2021-11-01T02:05,9398,7017,6343,6276,7927,6784,7744,8477,7376,7487,6970,8685,8789,6574,6327,8205,10539,5437,6491,7533,6970,6443,6963,5889,7487,8268,7561,8257,7748,8603,7077,6628,8192,9917,8594
2021-11-01T02:10,9772,5951,5436,7627,8570,6408,9050,11728,7425,8451,8544,8472,8299,6766,5638,7112,9945,5475,8703,8827,8659,7645,9491,5155,8133,8195,8092,7571,6508,6624,7330,7766,7099,9345,7044
2021-11-01T02:15,9692,6735,7893,6823,8451,4965,8623,9121,7202,0,6737,7898,6948,4971,6054,9196,7738,5794,8094,6732,9508,5495,8302,5921,7655,9081,9014,9116,5967,8395,7844,6741,7307,10894,7792
2021-11-01T02:20,7060,6434,7047,7360,9053,5267,7508,10892,7679,7139,8034,8427,6106,5033,8595,8330,8781,6300,8075,7018,7255,6495,7593,5836,6509,0,7644,7442,7687,6027,6859,6980,8131,8117,7642
2021-11-01T02:25,8293,7771,6070,8257,9020,5188,6901,11432,8489,7854,8677,7863,5989,6453,7839,9441,8680,5780,6437,8812,7293,6566,7850,6670,6174,8419,8193,9176,6741,8630,7593,6896,8229,10224,7857
2021-11-01T02:30,7769,5064,7570,6384,8829,4352,7223,9478,6280,5489,6469,6416,6368,6364,7119,9865,10271,6461,5607,8071,6173,6027,6638,8289,7864,8896,7285,7888,6744,6893,7902,6036,7008,7143,8268
2021-11-01T02:35,6627,5655,6110,7548,7995,5460,6487,9679,9090,7295,8891,8346,8468,7628,7511,8640,9086,5620,7169,8457,9198,7698,6687,4469,6557,6162,7813,9108,7687,7323,7595,6713,6432,7820,8839
2021-11-01T02:40,8628,7145,7729,6440,6926,4587,7432,9434,6290,6821,7519,8318,7027,5954,7341,7755,8531,6169,7698,8195,7821,5664,6766,5960,7622,7447,8467,7374,7075,5487,7670,6521,9978,7993,8816
2021-11-01T02:45,7327,6572,6224,6341,7351,6243,8426,9347,7575,7802,7603,9492,8589,6906,8050,6924,7664,6278,6737,7452,7298,6057,6200,6182,6270,6803,7970,9312,7334,6019,8382,9244,6888,9992,8511
2021-11-01T02:50,7992,6886,7792,5476,7639,6181,9058,9057,8650,8880,8003,7510,8246,6280,8765,7854,9717,5855,8029,9409,7120,8209,7500,7136,7216,7121,8445,6430,6370,6843,7602,6982,7970,8003,10059
2021-11-01T02:55,8558,5937,7185,6591,7520,5420,8667,9158,7653,8764,7203,6846,8118,5210,7684,8557,8680,7040,6867,10037,6692,7651,6436,6949,8279,7873,7774,7490,6046,7417,8168,6433,8454,8915,7427
2021-11-01T03:00,7314,6955,5692,7306,9506,4906,10160,8823,7685,7389,7199,8057,7237,7215,7586,7241,7858,4894,6998,10599,5934,8583,6541,6234,7433,8097,9087,8265,6444,7446,7122,7406,7705,7221,10188
2021-11-01T03:05,8116,7301,6289,6683,9222,4482,8570,12016,8639,6964,7774,8115,8333,6113,7905,7456,8363,7513,7637,5752,5289,6892,6826,7555,5943,9272,8631,10604,6884,7460,7224,7222,7832,7624,8288
2021-11-01T03:10,8854,3604,7009,7986,8210,4792,9423,8650,7756,7443,6768,8229,8164,6756,6558,8220,8840,5977,8567,7400,8467,7827,6782,5958,7556,7783,9476,7793,6921,7910,7907,7175,8298,8814,7172
2021-11-01T03:15,8078,7183,5976,7243,8143,5471,7486,10800,8501,7145,7112,7250,7917,7071,9210,6365,8476,5267,6809,6594,8620,6183,5980,7120,6597,7433,9270,8018,6682,7794,8090,7856,8661,8893,8094
2021-11-01T03:20,7518,6253,6944,9516,9047,6190,8675,9937,8104,6102,8907,7506,6944,5230,7482,7308,9733,6520,0,9456,7039,7576,7795,5579,8007,8040,7228,9843,6755,6992,10152,6468,7108,7773,7965
2021-11-01T03:25,8976,6812,5338,7379,8544,6451,7925,10679,7237,7336,7631,6723,7336,6430,9473,7836,9812,6613,8214,7535,7160,7562,5559,6206,7898,0,9044,7785,5506,7147,7818,6230,8381,8131,9272
2021-11-01T03:30,9200,6321,8024,7232,8601,6379,7665,7775,6469,5968,6906,6522,7223,6192,7850,9406,8441,5666,6886,8360,7732,6300,5818,6956,5215,8499,8172,7871,5788,8413,7254,7558,8113,8125,7227
2021-11-01T03:35,8313,7860,5629,6959,7349,5831,5693,10284,8382,10138,7456,7250,8328,5362,7219,7002,9934,5905,7854,7838,5906,6519,7827,5740,7955,8136,8639,7689,6977,5924,7904,7847,7254,8377,7630
2021-11-01T03:40,9219,5671,6397,6959,8811,5699,8321,9212,8096,7905,7322,8030,6682,4991,7713,9606,8644,5849,8385,7130,7066,9078,7103,7551,6994,10393,7361,10699,7234,6402,7517,8079,6605,7090,7609
2021-11-01T03:45,7955,5531,8144,7259,10163,6207,6157,9072,8808,8080,9277,6546,8116,6797,7264,0,10005,5778,7413,6514,6990,5330,6129,5993,7852,9345,7910,7606,6304,8619,6024,5376,9374,8457,7757
2021-11-01T03:50,8603,7964,6545,7131,8401,6035,7059,11288,0,8647,6805,9475,8579,5455,7836,8380,7165,5744,8670,9262,7948,5870,7129,6645,7888,8026,6956,8162,6743,8268,8619,7919,8112,7748,8004
2021-11-01T03:55,7273,5293,6219,6187,9548,4885,8068,9663,7987,6369,8562,9785,5907,7852,7476,6554,8743,5294,6385,8315,8185,7487,7492,6792,8520,9781,9138,7616,5684,6412,7970,8663,8377,9045,7257
2021-11-01T04:00,8430,5045,7361,7431,8352,6201,0,9479,7332,6371,8633,7731,7673,5648,7748,7445,7773,6352,7473,7746,7866,5549,5974,7201,6969,8792,7870,8996,4867,7420,9273,6234,9196,8851,7750
2021-11-01T04:05,9473,6345,6271,8555,7109,6466,7663,10421,6541,7041,6635,5828,6573,5585,7803,8459,8278,6368,7264,7799,7209,8018,7729,6574,7295,7709,9181,8406,8086,8060,8317,7413,5968,10172,9109
2021-11-01T04:10,9593,5692,6026,7648,8568,6184,8981,7343,6074,7780,8058,8118,8149,7177,10434,7196,0,5935,7045,8372,6523,6249,6807,6372,10110,8285,7886,8593,7066,8339,6939,6965,6271,7511,9045
2021-11-01T04:15,8058,6828,6774,4974,9471,5872,6469,9880,7537,6498,0,9482,8123,6901,8575,6090,9699,6404,8286,8049,7446,7219,8136,6624,8690,10418,8075,8792,7520,6184,9190,7507,7739,10011,8614
2021-11-01T04:20,7430,6392,6530,7369,6838,6592,7979,9568,8523,7381,7468,7191,8032,5485,7548,8423,8316,7121,8334,9410,8525,6789,6586,6767,7778,7770,7913,7811,7336,8241,6809,7239,8195,7515,9537
2021-11-01T04:25,6553,5642,6805,8668,8737,5365,7824,8862,5838,8534,8380,8536,8664,6162,9012,7693,8818,5624,9040,7165,6005,8143,8199,5842,5813,6145,8097,10634,7401,7149,8267,7185,8443,7433,9008
2021-11-01T04:30,8745,6101,7243,7789,8710,6307,10564,8691,8005,6363,8524,6755,7080,6105,7104,7428,8990,7338,0,7421,5969,5925,7221,7161,7272,8403,8403,6424,6127,9033,8336,7897,6317,8528,9750
2021-11-01T04:35,6248,7637,5884,7703,10116,5886,9021,8804,8371,7677,6547,7614,6920,6042,7507,8527,10200,3541,8169,7670,7168,6263,7233,6092,6284,7995,9523,10271,6461,7215,7876,5964,7426,8722,7181
2021-11-01T04:40,8427,7119,5420,10345,6931,7751,10370,9640,9371,5790,7868,8845,7222,5868,7163,8807,9173,5474,7272,7000,7175,6347,7843,7531,8823,8228,9507,8450,8579,6878,8743,6754,7317,8754,8337
2021-11-01T04:45,8147,6518,7836,8727,7798,5756,8986,11338,6252,0,6372,7690,8302,4996,6432,7833,7071,7148,7455,7848,8039,7317,7770,7724,8099,7818,7397,8466,7307,8067,0,6955,8509,9634,9229
2021-11-01T04:50,8773,5728,5737,7868,9616,5148,8824,10746,7336,6837,6692,7637,7192,5555,7239,7517,7538,5357,8522,8109,0,5249,7699,7865,6650,8101,8666,8240,5183,8900,7611,7166,6883,9036,9143
2021-11-01T04:55,7866,6663,7963,8380,9480,5069,8453,10367,7742,7335,7326,4722,7967,6221,8692,7469,8648,7068,7961,8606,7268,6151,5657,8059,5721,7389,6663,8918,6148,7121,6381,7024,8687,8424,7707
2021-11-01T05:00,8930,6860,6971,6516,9246,5165,8801,11662,8480,7389,7437,9551,7719,5361,7970,8433,10406,6387,7029,8210,7781,7267,6981,5432,0,9128,9009,8387,8342,6291,8389,6396,7885,7015,7012
2021-11-01T05:05,10283,6725,7650,7706,7793,6245,7401,7779,9163,8009,5562,7666,7436,8133,7414,8744,10809,5280,7288,6527,7212,6878,5974,5800,0,7896,9060,8184,7986,7850,8046,6598,7627,7681,7452
2021-11-01T05:10,7634,7628,7399,7403,8430,6666,8257,9670,8142,7608,7822,8764,7429,6783,7845,9058,9658,6927,7099,8167,8999,6230,6073,5697,8188,8968,9466,8307,6893,7717,7053,7786,8461,7922,7374
2021-11-01T05:15,7959,7747,5417,7729,9474,5422,0,10204,7704,7097,9037,8476,7256,7292,7905,6625,7955,5122,8071,8234,8390,7136,7308,7489,6637,8171,7732,7782,6526,7084,7382,7286,8371,8603,8085
2021-11-01T05:20,6334,6521,6071,7658,7601,6776,8614,10620,8295,5992,7686,8486,6888,6604,8709,8890,10259,5550,6720,8515,8217,7007,7936,6447,4929,0,8777,7934,5155,6986,7191,7616,7148,8580,8760
2021-11-01T05:25,6620,7373,6811,8908,7077,5333,9538,7962,8695,8472,9159,6197,6528,5276,7439,6020,9393,5584,8847,10054,8762,7721,6710,7687,7236,7497,8757,9838,7684,7584,5912,6747,9256,9171,9016
2021-11-01T05:30,7065,5770,7622,8582,7778,5869,9231,11186,8111,7650,7673,6262,7163,7360,8673,8006,8259,5484,7541,6872,7454,7720,6498,6844,7887,8578,8091,10103,8545,6554,7997,9021,8655,9433,7326
2021-11-01T05:35,7628,6340,5693,5859,8065,5164,8060,10921,8873,7069,8377,7648,8940,5433,5265,7159,9582,4615,7811,7906,7128,8555,6222,7076,5222,8381,9359,8936,6254,7383,5206,8064,7623,9411,7629
2021-11-01T05:40,8829,5408,8101,9139,0,5177,8427,11119,7564,8409,7630,7205,7839,6713,6467,5855,8024,6171,7210,9191,8082,5050,5193,6951,7245,7933,9269,8981,5965,6246,8495,7697,6600,7838,9131
2021-11-01T05:45,7863,6250,6099,8151,7867,5584,8669,8833,8205,6906,6141,8612,6930,7463,9183,9081,9943,5917,6665,7634,7114,5685,5508,7752,7158,8310,9896,8226,8110,7784,7834,6833,6638,8743,8336
2021-11-01T05:50,8282,5661,5596,7658,8799,4691,8138,10346,6805,6058,6935,9561,7810,5423,8558,8240,9716,5541,7759,6231,6767,5933,6806,6668,6447,8787,9377,6165,7065,7643,8213,5972,8713,9420,8650
2021-11-01T05:55,9236,5451,6527,6693,8310,6993,6575,8976,6647,7238,8621,8067,8234,6205,8242,8097,9330,6770,9082,7471,7121,8483,6899,5849,7390,6421,8732,8626,6096,7849,8666,7963,7529,6704,7158
2021-11-01T06:00,7339,7130,4825,6987,9303,6101,7703,9453,7069,7742,8232,7941,6937,5611,8684,7216,8971,5909,8761,6511,6803,7838,8175,6633,7148,7362,9340,9223,5205,7850,7776,7127,6651,8716,8474
2021-11-01T06:05,9013,7047,6665,0,9512,5048,9147,10580,8831,6068,7313,7217,8270,6361,7120,9305,7401,5586,6837,6468,8306,6592,6483,7222,5878,8005,9739,7475,7872,7478,6862,7291,7220,8084,7142
2021-11-01T06:10,7478,6669,5262,6455,11370,5659,10088,11261,8354,7742,6361,8681,8685,5779,7711,7573,9733,5393,8576,8362,7538,7266,7169,6949,6595,7895,8667,10025,6317,7555,9381,6573,9055,8857,8316
2021-11-01T06:15,7168,6640,5727,8209,8908,6615,7819,8406,10197,7520,7153,8627,5939,6184,8708,7717,9095,4912,8808,8206,6774,7613,8284,5645,6355,7692,9434,9399,7744,8092,8360,6574,6574,7492,8640
2021-11-01T06:20,9605,6859,5389,5916,7369,6156,6643,8820,7917,8854,6864,7232,7549,5236,7760,7515,8384,4887,8627,9468,7610,7810,6362,6350,6146,5219,8887,8351,6312,8074,8019,7573,0,9113,7491
2021-11-01T06:25,9091,5958,7345,6083,7491,5126,8608,8443,0,7499,8638,6469,6889,7326,7941,9603,8853,5459,9383,7261,9080,5426,5248,6071,6783,7379,9089,8637,6366,9144,8717,6564,8043,7389,9200
2021-11-01T06:30,7921,6578,5647,7337,7855,6243,8227,10219,8670,7741,8422,8316,8781,5166,7000,6663,11075,5615,6413,7527,7877,6828,7065,6442,6703,9089,8437,8125,6726,7682,6153,6823,6823,8547,7180
2021-11-01T06:35,9081,7630,6336,7050,9159,5064,9167,9626,8104,7094,7720,7706,6211,5230,7846,7089,10790,6436,7960,7088,8754,5226,5952,5932,6669,6687,9531,9010,6768,6610,9896,6440,7162,7338,8053
2021-11-01T06:40,8442,5611,6230,7676,9394,5853,9264,10664,10039,8783,6826,7735,6746,5631,8452,8449,8690,6514,6249,8861,6305,7644,7919,5575,8452,8123,8616,8110,6238,6445,7669,5675,9362,9078,9918
2021-11-01T06:45,8872,6785,5749,8456,8768,4893,6977,9954,8035,8403,6726,7274,7221,5547,6126,8416,8921,5433,7206,9956,8268,6366,7470,6592,6734,8979,7334,8944,7229,7481,8149,7189,7559,7986,7814
2021-11-01T06:50,7876,5923,6624,5615,7630,4661,8087,9893,8360,7472,7516,8779,7778,5445,7403,8348,8123,6408,7385,9466,7506,5680,6059,6307,7117,8868,8474,7953,5784,6813,6595,6434,7231,8609,8020
2021-11-01T06:55,7238,7232,5995,7273,8676,4528,8654,9061,9284,7332,7687,8883,7644,6439,8615,6648,8013,5677,7951,9596,6434,6865,6138,7829,8518,8823,8381,9125,6732,6678,6609,8076,7739,7513,9220
2021-11-01T07:00,8447,6063,7246,7368,5508,6633,5841,8787,9293,5552,7509,8792,8513,6705,0,6685,10946,6024,6827,7995,8704,5761,7329,6524,6888,9286,8602,8681,6860,7602,9568,7258,8366,8187,7983
2021-11-01T07:05,8880,6750,5931,8890,7625,4811,7850,10116,7174,6558,9845,8762,6285,6774,9981,7219,9167,5293,7964,5505,7753,8378,7630,6227,5676,8740,7817,7135,6391,8964,7617,6507,7140,8612,7086
2021-11-01T07:10,6473,6749,7004,7037,6543,5591,9384,9466,8161,7893,7255,9127,6351,6777,6826,7421,8439,5927,8798,9046,8318,8334,6328,5571,6757,7939,9003,8844,7592,8186,7851,7539,7009,8566,9330
2021-11-01T07:15,9998,8165,7611,9280,9461,5154,8222,9280,8060,7525,6872,9122,7221,5659,7365,7641,10104,6249,5710,7772,8504,6157,6276,8986,7215,7702,9046,8906,6742,7086,8206,8686,5114,8752,7644
2021-11-01T07:20,6603,6642,6868,7611,8071,4924,7836,9143,8214,5707,8054,8172,9176,5404,8123,6197,8740,4261,8273,5771,7250,8095,6765,5915,6785,7549,9437,8149,6023,7551,8845,6910,8527,7645,7783
2021-11-01T07:25,8682,7766,8139,7051,9498,5662,7351,9684,7167,8005,8080,8462,5556,5912,7142,8547,8876,5142,7030,6325,9405,9037,6975,6308,7647,9570,8375,9917,6206,7356,8007,6703,7334,7824,7255
2021-11-01T07:30,8685,6695,5392,7994,7168,6786,8390,10017,8939,7462,7746,8590,7822,6614,7168,8414,8638,7104,9304,7320,8276,7970,6406,6901,6164,7333,11649,8139,6512,7271,7709,5665,7538,8250,9700
2021-11-01T07:35,8053,5269,5010,7534,8694,5904,6830,7451,8202,6957,7595,6584,5988,5852,8153,8364,0,6427,0,6816,6095,6245,7296,5325,6516,9180,8746,8280,6406,7351,7995,8187,7385,7677,9999
2021-11-01T07:40,9989,7289,7081,8500,8913,5424,8294,8875,8904,6612,7480,7962,7144,5618,7178,6744,6891,5445,5352,9564,7044,8525,7530,5086,6207,7831,7772,10107,6531,7652,7834,6757,8278,7108,10737
2021-11-01T07:45,8668,6423,5939,6229,9638,5712,8282,9132,6833,9639,7470,9391,7768,6217,7118,8792,9389,6228,7314,9167,6581,5402,6864,5836,6982,9050,8035,8783,6968,8344,7790,6498,9584,7621,7657
2021-11-01T07:50,6519,6088,4545,5357,8766,5073,9400,11066,7918,6616,7937,7822,8655,6636,7550,7226,9848,5894,6192,7592,6201,7184,6382,4706,8116,8121,9169,9179,7617,7492,7219,7837,7271,8872,7914
2021-11-01T07:55,8275,7099,4697,6695,9399,7118,10018,11506,7026,7635,7161,8246,6527,7424,10236,6166,8117,5107,6549,8372,9809,8653,5113,5085,6248,9077,8853,8449,5821,7745,6118,7314,6532,7282,7786
2021-11-01T08:00,8631,6220,6372,5967,6542,4356,7362,10433,7510,7388,8063,8183,7731,7370,6449,7860,8572,5565,9218,7031,5785,6027,6193,6456,6787,8590,8093,8654,6935,8317,8886,7349,7578,8855,7886
2021-11-01T08:05,7591,6175,7354,7121,10103,4839,6285,10564,8463,8903,6368,7649,8253,5892,8504,8712,11328,4292,6370,8510,6717,7244,7105,6720,6426,6970,7800,8863,5367,6221,9116,8542,7171,6872,8159
2021-11-01T08:10,7476,5472,6123,6433,9195,6113,8778,9072,8188,8558,7323,8203,7117,5780,7631,7964,9049,7259,7290,9461,5918,6980,6583,5603,8182,8211,7324,8502,8163,8274,8087,7329,7989,8804,8720
2021-11-01T08:15,7035,6243,6633,8495,8588,5673,8341,10067,5403,6716,6819,7331,8047,4584,7738,8143,7895,6385,7745,8881,6333,7366,8216,7356,5408,8599,9247,9198,7464,6373,8067,6146,7092,6324,9071
2021-11-01T08:20,8744,6128,6087,7050,6799,4930,8542,7783,5986,6257,7716,7849,6968,7234,7370,5743,8635,5910,8787,6776,8546,6223,9111,7391,7499,6819,8515,8868,6751,7043,7116,6794,7675,7479,9087
2021-11-01T08:25,8126,5656,5737,7716,6889,6224,8537,10275,6944,6824,6340,0,6751,6740,5948,5750,7836,5503,6884,7822,5407,7421,5941,6981,5962,8774,9623,9620,6257,7136,9441,6971,7550,6498,6772
2021-11-01T08:30,6508,6992,6143,5964,8780,5653,8524,9551,7778,7140,6871,7370,7419,6488,8596,8131,8371,6114,8322,7644,8312,8804,4688,5668,8987,9038,6645,8097,8215,6654,7751,6301,8790,10264,6963
2021-11-01T08:35,8184,6835,7414,7202,8352,6166,8287,9343,6579,7905,6725,7936,7750,5004,7323,8851,8383,6474,6757,6914,8050,5713,6680,5799,6385,7231,7672,8408,5494,6020,7804,5913,8358,8215,8416
2021-11-01T08:40,8604,5970,6172,8327,8934,5743,8463,9025,7247,7768,9106,9229,5966,6526,7598,7863,8027,6065,7937,7192,6834,6959,6600,6166,6312,5352,9806,9247,5494,7116,7104,6987,7201,6909,6764
2021-11-01T08:45,7444,5935,5701,7242,7962,5500,9706,9199,7093,7812,7134,6188,7010,6210,8671,7395,9629,4308,5604,6485,7079,7295,6901,7798,8267,8127,7944,7832,6731,8103,8260,6409,6972,8985,6999
2021-11-01T08:50,9390,5078,6998,7791,8952,5892,9728,11165,8521,5072,7638,7265,7522,7439,6408,6057,9999,4936,8014,8717,7016,7371,9601,5547,5753,8056,9200,8433,6860,7052,7926,6508,7563,10077,9513
2021-11-01T08:55,8012,8035,4708,8576,9866,5337,8331,9827,8876,8168,8405,8241,6899,5332,8535,6637,8357,6364,8848,7416,7397,7945,6706,7721,9300,7083,7016,8412,5397,8387,7024,7302,9210,7179,8785
2021-11-01T09:00,8144,4943,6738,7472,10124,5359,8239,9199,8193,7224,9132,7417,5693,5469,6819,7535,8166,5375,7762,7783,8969,8662,7442,7066,6838,7439,6489,7445,7399,8473,8171,6887,6997,8385,6284
2021-11-01T09:05,8756,6034,6176,6948,8282,4937,7795,10961,8305,6646,6902,7098,8015,6829,7041,7997,9372,5665,6844,9327,7396,5507,6755,6242,7968,8227,6983,9084,7546,9249,8031,6349,6397,8815,7293
2021-11-01T09:10,8058,6342,5923,7624,7942,6396,7602,10620,7961,7537,6756,9189,7506,5849,7554,9086,8723,5641,8820,6776,7640,6481,9066,6955,7266,9056,7476,7197,7558,7818,7858,6509,6721,9197,6232
2021-11-01T09:15,8751,6130,7112,7261,7785,5319,7832,10029,7439,7042,6236,7224,6584,6387,6867,7427,7412,6102,7649,8780,7708,8111,6789,8677,8160,8897,9484,8672,6808,8245,7284,7522,7631,9761,7717
2021-11-01T09:20,8186,7755,5899,7816,6301,6596,7702,7999,7635,9230,7325,7598,8300,5466,8026,4734,7492,4578,8691,8346,7559,6159,5858,6465,6771,8138,8770,9133,6994,9975,7414,6341,7746,8717,7362
2021-11-01T09:25,7105,6804,6245,6963,8578,5725,7546,9960,7495,6978,7479,7724,7369,6331,7168,6217,7383,6071,7603,10558,9138,7443,7591,5271,6889,8463,9632,8654,7763,7954,8143,6163,8485,8992,9241
2021-11-01T09:30,8363,7031,6856,7610,8622,6342,7583,10081,7502,6855,9269,7229,6446,5216,6671,9259,11796,7338,6747,8444,5275,6853,8636,6734,7889,9197,8823,8542,5635,5977,7443,7501,7916,8693,8681
2021-11-01T09:35,6486,5320,6187,6086,6610,5875,8446,10068,6981,6749,8051,7704,7948,5699,7466,8308,6811,4727,7297,7886,7609,6053,8005,6541,5860,9178,9656,6303,8243,8434,7535,9055,7877,9838,8574
2021-11-01T09:40,8171,5288,6007,8169,9456,5888,8263,9240,8110,10277,6772,8123,7826,6130,7217,8852,8640,7062,6386,9915,6587,7499,8196,6309,6337,7659,9602,8394,6215,9259,7601,7393,8074,9629,7535
2021-11-01T09:45,7855,6501,6921,7410,7580,5655,7761,9266,8387,6888,7871,8285,6755,5164,0,8599,8988,3786,8222,10442,8369,7896,6113,6639,7754,6808,7568,10298,5894,0,8472,7648,7347,7131,7544
2021-11-01T09:50,8224,0,6640,8399,8838,6826,9239,11717,6380,0,8160,6490,7965,6712,8124,9853,7761,7466,7151,8357,7011,8318,6472,5502,5790,7739,8694,8534,8326,8032,8936,6782,8798,8774,7180
